"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Septicemia (A40-A41)"	"GR113-010"	26	259074	10.036	6.556	14.705	1.968	9.260	6.049	13.568	1.826
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Viral hepatitis (B15-B19)"	"GR113-015"	16	259074	Unreliable	3.530	10.029	1.544	Unreliable	3.074	8.733	1.357
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	595	259074	229.664	211.210	248.118	9.415	211.356	194.222	228.490	8.742
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	11	259074	Unreliable	2.120	7.597	1.280	Unreliable	1.930	6.918	1.176
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	65	259074	25.089	19.363	31.978	3.112	22.865	17.609	29.198	2.865
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	17	259074	Unreliable	3.823	10.506	1.591	Unreliable	3.360	9.236	1.412
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	50	259074	19.300	14.324	25.444	2.729	18.107	13.396	23.939	2.578
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	123	259074	47.477	39.086	55.867	4.281	44.502	36.584	52.420	4.040
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of breast (C50)"	"GR113-029"	112	259074	43.231	35.224	51.237	4.085	39.826	32.363	47.289	3.808
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	27	259074	10.422	6.868	15.163	2.006	9.667	6.371	14.065	1.873
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	23	259074	8.878	5.628	13.321	1.851	7.912	5.016	11.872	1.664
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	11	259074	Unreliable	2.120	7.597	1.280	Unreliable	1.948	6.982	1.182
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	10	259074	Unreliable	1.851	7.099	1.221	Unreliable	1.664	6.383	1.104
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	56	259074	21.615	16.328	28.069	2.888	19.828	14.937	25.809	2.671
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	18	259074	Unreliable	4.118	10.981	1.638	Unreliable	3.771	10.056	1.508
	"Colorado"	"08"	"Large Central Metro"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Leukemia (C91-C95)"	"GR113-040"	16	259074	Unreliable	3.530	10.029	1.544	Unreliable	3.131	8.896	1.386
