"Notes"	"State"	"State Code"	"2013 Urbanization"	"2013 Urbanization Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"Large Central Metro"	"1"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	41	441398	9.289	6.666	12.601	1.451	9.560	6.731	13.177	1.564
	"Alabama"	"01"	"Large Central Metro"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	45	298943	15.053	10.980	20.142	2.244	16.052	11.569	21.697	2.490
	"Alabama"	"01"	"Large Central Metro"	"1"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	191	401902	47.524	40.784	54.264	3.439	45.931	39.214	52.648	3.427
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	49	513749	9.538	7.056	12.609	1.363	10.120	7.409	13.498	1.490
	"Alabama"	"01"	"Large Fringe Metro"	"2"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	181	483059	37.470	32.011	42.928	2.785	37.652	32.008	43.297	2.880
	"Alabama"	"01"	"Medium Metro"	"3"	"Female"	"F"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	14	571727	Unreliable	1.339	4.109	0.654	Unreliable	1.332	4.089	0.659
	"Alabama"	"01"	"Medium Metro"	"3"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	105	977292	10.744	8.689	12.799	1.049	10.740	8.572	12.908	1.106
	"Alabama"	"01"	"Medium Metro"	"3"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	59	474961	12.422	9.456	16.024	1.617	12.187	9.206	15.826	1.628
	"Alabama"	"01"	"Medium Metro"	"3"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	426	926655	45.972	41.606	50.337	2.227	46.248	41.704	50.792	2.318
	"Alabama"	"01"	"Small Metro"	"4"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	136	1226410	11.089	9.226	12.953	0.951	11.203	9.234	13.172	1.005
