"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	836	4874747	17.150	15.987	18.312	0.593	16.628	15.469	17.788	0.592
	"Alaska"	"02"	200	739795	27.035	23.288	30.781	1.912	27.014	23.162	30.865	1.965
	"Arizona"	"04"	1327	7016270	18.913	17.896	19.931	0.519	18.158	17.157	19.158	0.510
	"Arkansas"	"05"	631	3004279	21.003	19.365	22.642	0.836	20.800	19.140	22.460	0.847
	"California"	"06"	4312	39536653	10.906	10.581	11.232	0.166	10.456	10.139	10.773	0.162
	"Colorado"	"08"	1181	5607154	21.062	19.861	22.264	0.613	20.339	19.159	21.518	0.602
	"Connecticut"	"09"	405	3588184	11.287	10.188	12.386	0.561	10.512	9.451	11.574	0.542
	"Delaware"	"10"	112	961939	11.643	9.487	13.799	1.100	11.629	9.405	13.853	1.135
	"District of Columbia"	"11"	47	693972	6.773	4.976	9.006	0.988	6.621	4.811	8.889	0.998
	"Florida"	"12"	3227	20984400	15.378	14.848	15.909	0.271	13.965	13.463	14.467	0.256
	"Georgia"	"13"	1451	10429379	13.913	13.197	14.628	0.365	13.594	12.885	14.304	0.362
	"Hawaii"	"15"	227	1427538	15.902	13.833	17.970	1.055	15.178	13.144	17.212	1.038
	"Idaho"	"16"	392	1716943	22.831	20.571	25.091	1.153	23.168	20.828	25.509	1.194
	"Illinois"	"17"	1474	12802023	11.514	10.926	12.102	0.300	11.212	10.629	11.796	0.298
	"Indiana"	"18"	1092	6666818	16.380	15.408	17.351	0.496	16.330	15.341	17.319	0.504
	"Iowa"	"19"	479	3145711	15.227	13.863	16.591	0.696	15.040	13.654	16.426	0.707
	"Kansas"	"20"	553	2913123	18.983	17.401	20.565	0.807	19.131	17.501	20.761	0.832
	"Kentucky"	"21"	770	4454189	17.287	16.066	18.508	0.623	16.920	15.695	18.145	0.625
	"Louisiana"	"22"	720	4684333	15.370	14.248	16.493	0.573	15.225	14.089	16.360	0.579
	"Maine"	"23"	274	1335907	20.510	18.082	22.939	1.239	18.874	16.516	21.232	1.203
	"Maryland"	"24"	630	6052177	10.409	9.597	11.222	0.415	9.847	9.063	10.632	0.400
	"Massachusetts"	"25"	682	6859819	9.942	9.196	10.688	0.381	9.456	8.727	10.186	0.372
	"Michigan"	"26"	1457	9962311	14.625	13.874	15.376	0.383	14.104	13.355	14.852	0.382
	"Minnesota"	"27"	783	5576606	14.041	13.057	15.024	0.502	13.846	12.854	14.838	0.506
	"Mississippi"	"28"	445	2984100	14.912	13.527	16.298	0.707	15.018	13.592	16.443	0.727
	"Missouri"	"29"	1151	6113532	18.827	17.739	19.915	0.555	18.487	17.390	19.584	0.560
	"Montana"	"30"	311	1050493	29.605	26.315	32.896	1.679	28.943	25.605	32.281	1.703
	"Nebraska"	"31"	275	1920076	14.322	12.630	16.015	0.864	14.679	12.907	16.450	0.904
	"Nevada"	"32"	627	2998039	20.914	19.277	22.551	0.835	20.285	18.668	21.902	0.825
	"New Hampshire"	"33"	265	1342795	19.735	17.359	22.111	1.212	18.898	16.531	21.266	1.208
	"New Jersey"	"34"	795	9005644	8.828	8.214	9.441	0.313	8.339	7.746	8.932	0.302
	"New Mexico"	"35"	491	2088070	23.515	21.435	25.594	1.061	23.300	21.184	25.415	1.079
	"New York"	"36"	1696	19849399	8.544	8.138	8.951	0.207	8.120	7.724	8.516	0.202
	"North Carolina"	"37"	1521	10273419	14.805	14.061	15.549	0.380	14.284	13.550	15.017	0.374
	"North Dakota"	"38"	154	755393	20.387	17.167	23.607	1.643	20.083	16.842	23.324	1.654
	"Ohio"	"39"	1740	11658609	14.925	14.223	15.626	0.358	14.807	14.091	15.523	0.365
	"Oklahoma"	"40"	756	3930864	19.232	17.861	20.603	0.699	19.129	17.737	20.520	0.710
	"Oregon"	"41"	825	4142776	19.914	18.555	21.273	0.693	18.998	17.669	20.327	0.678
	"Pennsylvania"	"42"	2030	12805537	15.853	15.163	16.542	0.352	15.023	14.345	15.701	0.346
	"Rhode Island"	"44"	129	1059639	12.174	10.073	14.275	1.072	11.784	9.685	13.882	1.070
	"South Carolina"	"45"	838	5024369	16.679	15.549	17.808	0.576	16.297	15.161	17.433	0.580
	"South Dakota"	"46"	191	869666	21.962	18.848	25.077	1.589	22.517	19.243	25.791	1.670
	"Tennessee"	"47"	1166	6715984	17.362	16.365	18.358	0.508	16.783	15.796	17.770	0.504
	"Texas"	"48"	3778	28304596	13.348	12.922	13.773	0.217	13.353	12.922	13.783	0.220
	"Utah"	"49"	663	3101833	21.374	19.747	23.001	0.830	22.691	20.937	24.445	0.895
	"Vermont"	"50"	112	623657	17.959	14.633	21.285	1.697	18.310	14.766	21.854	1.808
	"Virginia"	"51"	1179	8470020	13.920	13.125	14.714	0.405	13.350	12.574	14.127	0.396
	"Washington"	"53"	1297	7405743	17.513	16.560	18.467	0.486	16.909	15.970	17.848	0.479
	"West Virginia"	"54"	393	1815857	21.643	19.503	23.782	1.092	21.064	18.902	23.226	1.103
	"Wisconsin"	"55"	926	5795483	15.978	14.949	17.007	0.525	15.385	14.362	16.407	0.522
	"Wyoming"	"56"	157	579315	27.101	22.862	31.340	2.163	26.940	22.601	31.280	2.214
