"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Alabama"	"01"	"Female"	"F"	145	2071991	6.998	5.859	8.137	0.581	7.230	6.010	8.450	0.623
	"Alabama"	"01"	"Male"	"M"	675	1899458	35.536	32.856	38.217	1.368	35.645	32.886	38.405	1.408
"Total"	"Alabama"	"01"			820	3971449	20.647	19.234	22.061	0.721	20.693	19.235	22.151	0.744
	"Alaska"	"02"	"Female"	"F"	40	277176	14.431	10.310	19.651	2.282	13.748	9.729	18.870	2.231
	"Alaska"	"02"	"Male"	"M"	158	307001	51.466	43.441	59.491	4.094	52.363	43.863	60.863	4.337
"Total"	"Alaska"	"02"			198	584177	33.894	29.173	38.615	2.409	34.028	29.150	38.906	2.489
	"Arizona"	"04"	"Female"	"F"	306	2864471	10.683	9.486	11.880	0.611	10.586	9.361	11.812	0.625
	"Arizona"	"04"	"Male"	"M"	1005	2797475	35.925	33.704	38.146	1.133	35.517	33.281	37.752	1.141
"Total"	"Arizona"	"04"			1311	5661946	23.155	21.901	24.408	0.639	22.807	21.542	24.071	0.645
	"Arkansas"	"05"	"Female"	"F"	145	1242603	11.669	9.770	13.568	0.969	12.042	10.034	14.050	1.025
	"Arkansas"	"05"	"Male"	"M"	479	1175940	40.733	37.086	44.381	1.861	41.354	37.578	45.130	1.927
"Total"	"Arkansas"	"05"			624	2418543	25.801	23.776	27.825	1.033	26.153	24.053	28.253	1.071
	"California"	"06"	"Female"	"F"	944	16206962	5.825	5.453	6.196	0.190	5.705	5.334	6.076	0.189
	"California"	"06"	"Male"	"M"	3328	15801046	21.062	20.346	21.777	0.365	21.055	20.329	21.782	0.370
"Total"	"California"	"06"			4272	32008008	13.347	12.946	13.747	0.204	13.166	12.766	13.567	0.204
	"Colorado"	"08"	"Female"	"F"	269	2272180	11.839	10.424	13.254	0.722	11.762	10.326	13.198	0.733
	"Colorado"	"08"	"Male"	"M"	889	2285728	38.894	36.337	41.450	1.304	38.967	36.358	41.575	1.331
"Total"	"Colorado"	"08"			1158	4557908	25.406	23.943	26.870	0.747	25.306	23.824	26.788	0.756
	"Connecticut"	"09"	"Female"	"F"	95	1541470	6.163	4.986	7.534	0.632	6.340	5.078	7.821	0.678
	"Connecticut"	"09"	"Male"	"M"	305	1443920	21.123	18.752	23.494	1.210	20.744	18.349	23.140	1.222
"Total"	"Connecticut"	"09"			400	2985390	13.399	12.086	14.712	0.670	13.201	11.861	14.540	0.683
	"Delaware"	"10"	"Female"	"F"	14	412776	Unreliable	1.854	5.691	0.906	Unreliable	1.771	5.689	0.927
	"Delaware"	"10"	"Male"	"M"	98	379896	25.797	20.943	31.438	2.606	27.111	21.882	33.213	2.816
"Total"	"Delaware"	"10"			112	792672	14.129	11.513	16.746	1.335	14.808	11.976	17.640	1.445
	"District of Columbia"	"11"	"Female"	"F"	12	310848	Unreliable	1.995	6.743	1.114	Unreliable	2.001	7.171	1.198
	"District of Columbia"	"11"	"Male"	"M"	34	274363	12.392	8.582	17.317	2.125	12.689	8.679	17.913	2.231
"Total"	"District of Columbia"	"11"			46	585211	7.860	5.755	10.485	1.159	8.135	5.887	10.957	1.236
	"Florida"	"12"	"Female"	"F"	729	9029755	8.073	7.487	8.659	0.299	8.043	7.431	8.655	0.312
	"Florida"	"12"	"Male"	"M"	2480	8483782	29.232	28.082	30.383	0.587	27.983	26.846	29.119	0.580
"Total"	"Florida"	"12"			3209	17513537	18.323	17.689	18.957	0.323	17.653	17.017	18.289	0.325
	"Georgia"	"13"	"Female"	"F"	338	4334873	7.797	6.966	8.628	0.424	7.733	6.896	8.571	0.427
	"Georgia"	"13"	"Male"	"M"	1093	4018461	27.199	25.587	28.812	0.823	27.432	25.772	29.093	0.847
"Total"	"Georgia"	"13"			1431	8353334	17.131	16.243	18.018	0.453	17.052	16.155	17.948	0.458
	"Hawaii"	"15"	"Female"	"F"	57	585679	9.732	7.371	12.609	1.289	9.650	7.229	12.623	1.325
	"Hawaii"	"15"	"Male"	"M"	168	582960	28.818	24.461	33.176	2.223	28.327	23.938	32.716	2.239
"Total"	"Hawaii"	"15"			225	1168639	19.253	16.737	21.769	1.284	19.105	16.534	21.676	1.312
	"Idaho"	"16"	"Female"	"F"	71	676260	10.499	8.200	13.243	1.246	10.934	8.490	13.861	1.328
	"Idaho"	"16"	"Male"	"M"	318	672394	47.294	42.096	52.492	2.652	47.864	42.503	53.226	2.735
"Total"	"Idaho"	"16"			389	1348654	28.844	25.977	31.710	1.462	29.280	26.310	32.250	1.515
	"Illinois"	"17"	"Female"	"F"	317	5340080	5.936	5.283	6.590	0.333	6.074	5.391	6.758	0.349
	"Illinois"	"17"	"Male"	"M"	1136	5072143	22.397	21.094	23.699	0.665	22.582	21.246	23.918	0.682
"Total"	"Illinois"	"17"			1453	10412223	13.955	13.237	14.672	0.366	14.036	13.301	14.772	0.376
	"Indiana"	"18"	"Female"	"F"	194	2745390	7.066	6.072	8.061	0.507	7.524	6.440	8.608	0.553
	"Indiana"	"18"	"Male"	"M"	889	2621839	33.907	31.679	36.136	1.137	34.409	32.104	36.714	1.176
"Total"	"Indiana"	"18"			1083	5367229	20.178	18.976	21.380	0.613	20.609	19.356	21.862	0.639
	"Iowa"	"19"	"Female"	"F"	90	1283980	7.009	5.636	8.616	0.739	7.376	5.883	9.132	0.804
	"Iowa"	"19"	"Male"	"M"	382	1253432	30.476	27.420	33.533	1.559	30.583	27.442	33.724	1.602
"Total"	"Iowa"	"19"			472	2537412	18.602	16.923	20.280	0.856	18.837	17.087	20.586	0.893
	"Kansas"	"20"	"Female"	"F"	118	1170904	10.078	8.259	11.896	0.928	10.534	8.590	12.478	0.992
